Group,Sample_ID,Site_Type,Porosity,Kozeny-Carmen ,Rosetta ,Constant_Head,Falling_Head 
1,1.1.A,T,0.46,2.55E-02,1.62E-02,1.91E-03,1.91E-05
1,1.2.A,T,0.52,7.48E-02,1.73E-02,3.55E-02,3.55E-04
1,1.3.A,T,0.52,6.87E-02,1.77E-02,7.01E-03,7.01E-05
2,2.1.A,T,0.43,1.35E-02,7.65E-03,9.00E-02,2.00E+00
2,2.2.A,T,0.38,5.61E-02,1.26E-02,5.00E-02,2.00E+00
2,2.3.A,T,0.49,1.79E-02,9.76E-03,1.00E-01,2.00E+00
3,3.1.A,C,0.40,3.50E-02,1.12E-02,,
3,3.2.A,C,0.40,2.50E-02,1.06E-02,,
3,3.3.A,C,0.42,1.70E-02,1.13E-02,,
4,4.1.A,T,0.36,8.80E-03,1.32E-02,3.27E-02,2.10E-03
4,4.2.A,C,0.31,1.50E-02,1.01E-02,9.17E-03,9.78E-04
4,4.3.A,C,0.30,7.10E-03,8.89E-03,2.55E-02,2.06E-03
5,5.1.A,C,0.32 ,2.00E-02,3.00E-04,2.00E+00,4.00E-02
5,5.2.A,C,0.38 ,2.00E-02,3.00E-04,3.00E-01,4.00E-02
5,5.3.A,C,0.37 ,2.00E-02,3.00E-04,3.00E-01,4.00E-02
